hotelid,360,350,340,330,320,310,300,290,280,260,250,230,220,210,200,190,180,170,160,150,130,120,110,100,90,80,76,68,64,60,56,54,52,40,36,34,32,30,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,6,5,4,3,2,1,0
46,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,115.0,115.0,115.0,115.0,115.0,115.0,111.0,111.0,111.0,121.0,111.0,111.0,111.0,111.0,111.0,121.0,111.0,111.0,111.0,,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,84.0,84.0,84.0,74.0,84.0,84.0,84.0,74.0,85.0,95.0,95.0
47,319.0,319.0,319.0,319.0,319.0,319.0,234.0,234.0,234.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,215.0,183.0,183.0,168.0,152.0,145.0,170.0,148.0,157.0,157.0,137.0,137.0,137.0,137.0,149.0,149.0,149.0,137.0,135.0,120.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,155.0,155.0,155.0,141.0,168.0,168.0,168.0,168.0,168.0,168.0,159.0,175.0,159.0,165.0,150.0,155.0,146.0,146.0,141.0,141.0,141.0
48,,,,53.0,53.0,53.0,53.0,53.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,208.0,208.0,208.0,221.0,208.0,208.0,201.0,208.0,221.0,221.0,221.0,208.0,208.0,208.0,201.0,201.0,201.0,201.0,208.0,215.0,202.0,215.0,174.0,163.0,179.0,196.0,215.0,197.0,197.0
49,,,,,,,,,,,,,,,,,72.0,72.0,83.0,72.0,72.0,67.0,67.0,76.0,86.0,78.0,83.0,83.0,76.0,76.0,76.0,76.0,76.0,83.0,83.0,76.0,75.0,75.0,75.0,,83.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,106.0,88.0,88.0,88.0,88.0,85.0,85.0,93.0,85.0,93.0,85.0,88.0,88.0,88.0,85.0,85.0,85.0
53,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,95.0,85.0,85.0,78.0,78.0,78.0,87.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0
55,,,,,,,,,,,,93.0,97.0,93.0,97.0,97.0,97.0,114.0,125.0,125.0,114.0,105.0,95.0,95.0,105.0,97.0,103.0,103.0,95.0,95.0,95.0,95.0,95.0,94.0,103.0,95.0,94.0,94.0,,94.0,94.0,94.0,94.0,94.0,94.0,103.0,103.0,103.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,103.0,104.0,114.0,104.0,108.0,108.0,108.0,98.0,104.0,104.0
56,109.0,109.0,109.0,109.0,109.0,109.0,109.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,82.0,103.0,82.0,82.0,76.0,82.0,82.0,103.0,78.0,78.0,78.0,82.0,82.0,82.0,82.0,82.0,87.0,87.0,87.0,87.0,73.0,73.0,73.0,88.0,88.0,82.0,73.0,73.0,73.0,73.0,88.0,88.0,88.0,73.0,73.0,73.0,73.0,88.0,88.0,88.0,103.0,73.0,73.0,88.0,88.0,82.0,97.0,73.0,73.0
57,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,104.0,104.0,104.0,104.0,104.0,121.0,121.0,104.0,112.0,132.0,112.0,112.0,112.0,112.0,112.0,132.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,102.0,130.0,120.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,,,
58,,,,,,,,,,64.0,64.0,81.0,,64.0,64.0,64.0,64.0,72.0,75.0,72.0,72.0,66.0,59.0,69.0,69.0,64.0,64.0,64.0,64.0,64.0,59.0,64.0,69.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,72.0,72.0,72.0,72.0,64.0,64.0,60.0,45.0,63.0,68.0,68.0,68.0,71.0,75.0,,71.0,71.0,71.0,71.0,64.0,75.0,75.0,64.0
59,,169.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,98.0,103.0,103.0,103.0,103.0,103.0,114.0,103.0,103.0,103.0,103.0,103.0,114.0,103.0,103.0,95.0,122.0,100.0,100.0,100.0,100.0,100.0,87.0,87.0,87.0,87.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,125.0
60,,,,,,,,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,95.0,85.0,85.0,90.0,90.0,90.0,110.0,101.0,107.0,107.0,,99.0,99.0,103.0,103.0,120.0,120.0,111.0,110.0,110.0,110.0,,110.0,110.0,110.0,110.0,110.0,120.0,120.0,120.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,120.0,110.0,120.0,110.0,113.0,113.0,113.0,110.0,110.0,110.0
61,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,125.0,106.0,106.0,98.0,106.0,100.0,125.0,146.0,146.0,146.0,146.0,146.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,125.0
62,,,393.0,413.0,413.0,413.0,120.0,126.0,126.0,126.0,120.0,126.0,120.0,120.0,120.0,120.0,120.0,120.0,146.0,120.0,120.0,120.0,120.0,133.0,135.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,135.0,135.0,135.0
63,,,,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,81.0,65.0,65.0,65.0,65.0,65.0,81.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,56.0,65.0,65.0,49.0,49.0,65.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,49.0,49.0,65.0,65.0,65.0
64,75.0,79.0,79.0,79.0,79.0,75.0,85.0,85.0,85.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,99.0,89.0,89.0,89.0,89.0,89.0,99.0,89.0,89.0,89.0,89.0,89.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,75.0,75.0,75.0,75.0,75.0,75.0,71.0,75.0,75.0,75.0,75.0,75.0,71.0,71.0,71.0,71.0,71.0
65,,,,,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,95.0,95.0,95.0,85.0,78.0,78.0,78.0,82.0,82.0,75.0,69.0,79.0,80.0,98.0,87.0,87.0,87.0,87.0,79.0,78.0,71.0,86.0,85.0,80.0,81.0,68.0,92.0,101.0,92.0,95.0,101.0,101.0,98.0,92.0,92.0,92.0,66.0,78.0,78.0,78.0,81.0,98.0,98.0,104.0,104.0,83.0,66.0,61.0,75.0,79.0,90.0
67,63.0,63.0,63.0,63.0,63.0,63.0,,63.0,63.0,57.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,97.0,87.0,87.0,84.0,86.0,86.0,95.0,84.0,89.0,89.0,86.0,86.0,86.0,86.0,86.0,81.0,89.0,86.0,84.0,84.0,84.0,84.0,84.0,89.0,84.0,81.0,84.0,89.0,89.0,99.0,93.0,93.0,93.0,90.0,90.0,90.0,90.0,93.0,99.0,93.0,99.0,59.0,56.0,56.0,56.0,56.0,61.0,55.0
70,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
71,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,121.0,109.0,109.0,109.0,109.0,103.0,111.0,94.0,94.0,94.0,94.0,94.0,85.0,85.0,94.0,86.0,111.0,107.0,105.0,105.0,,105.0,105.0,105.0,105.0,111.0,111.0,111.0,111.0,111.0,111.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,73.0,77.0,75.0,70.0,70.0,70.0,70.0,77.0,77.0
